"","hierarchy_level1","hierarchy_level2","week","y1","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"1","A4","2","2013-04-07",9.64279249011594,4.2764783873071,8.76880657598326,0,0,0,0,3.56420761392755,3.66723324513215,0.925877516339224,0.642751247135877,0.633291260469556,0.0626333014187782,0
"2","A4","2","2013-06-09",9.84441956312732,4.30633135045678,8.46850520673621,0,0,0,0,3.57652460973459,3.79631207120445,0.925877516339224,0.712751247135877,0.753291260469556,0.0626333014187782,0
"3","A4","2","2013-07-07",9.80457008593127,4.11217533601582,8.75358027071509,1,0,0,0,3.54609586398451,3.51041770531426,0.925877516339224,0.462751247135877,0.873291260469556,0.0626333014187782,0
"4","A4","2","2012-10-21",9.48840908353569,4.11217533601582,8.89618021645919,0,0,0,0,3.74972917345218,3.63169984299618,0.845877516339224,0,0.653291260469556,0.0626333014187782,0
"5","A4","2","2013-09-22",9.03965936976681,4.05711555883279,7.75104791215619,0,0,0,0,3.44257100895518,3.51708402517123,0.955877516339224,0.622751247135877,0.643291260469556,0.0626333014187782,0
"6","A4","2","2011-11-13",9.63242858433133,4.39088873848484,9.54505514363288,0,0,0,0,3.6802797851803,3.79395093827649,0.955877516339224,0,0.623291260469556,0.0626333014187782,0
"7","A4","2","2012-02-12",9.54291815676637,4.26121091517631,9.05876843402212,0,0,0,0,3.73470743175634,4.02480158588459,0.915877516339224,0,0.653291260469556,0.0626333014187782,0
"8","A4","2","2013-04-21",9.67595987338339,4.30633135045678,9.00542729381046,0,0,0,0,3.52853615028541,3.6943629886569,0.955877516339224,0.382751247135877,0.683291260469556,0.0626333014187782,0
"9","A4","2","2012-12-16",9.14872326678454,4.34950352232199,8.76438946831245,0,0,0,0,3.65718407038566,3.64517583322864,0.835877516339224,0.592751247135877,0.583291260469556,0.0626333014187782,1
"10","A4","2","2012-07-15",9.94956936393424,4.018649278005,9.18247551847655,1,0,0,0,3.61543680369634,3.6879977643556,0.955877516339224,0,0.663291260469556,0.702633301418778,0
"11","B1","2","2012-08-26",6.73235171781859,2.85941236752045,5.8729103781826,0,0,0,0,4.22896411314581,4.26875272103004,0.845877516339224,0,0.353291260469556,0.562633301418778,0
"12","A4","2","2012-04-22",9.61954068204947,4.2764783873071,8.95052456118974,0,0,0,0,3.69463590631446,3.68616402267042,0.915877516339224,0,0.493291260469556,0.0626333014187782,0
"13","B1","2","2013-01-06",6.80278996108335,3.34492018330215,5.84693489177933,0,0,0,0,3.92212110678713,3.19317183449777,0.955877516339224,0.842751247135877,0.243291260469556,1,0
"14","A4","2","2013-10-20",9.48527093999505,4.2299583716722,7.75104791215619,0,0,0,0,3.45837215169229,3.77482585488897,0.955877516339224,0.492751247135877,0.743291260469556,0.0626333014187782,0
"15","B1","2","2012-01-15",6.59741048427255,3.48802102694283,6.28688617595867,0,0,0,0,4.31465564832484,4.40975054046574,0.845877516339224,0.542751247135877,0.513291260469556,1,0
"16","A4","2","2012-12-30",9.59820890995117,4.40431175881698,8.89977684504232,0,0,0,0,3.66648646304797,3.49369586477943,0.855877516339224,0.502751247135877,0.903291260469556,0.882633301418778,0
"17","B1","2","2013-09-15",7.28716591483137,3.03126262444711,6.76322562365349,0,0,0,0,4.02697357587306,4.46415902978356,0.955877516339224,0.252751247135877,0.253291260469556,0.0626333014187782,0
"18","A4","2","2012-04-01",9.79843031864849,4.29151626467164,8.85198038747999,0,0,0,1,3.88529966426096,3.6942269904535,0.605877516339224,0,0.603291260469556,0.0626333014187782,0
